AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
Alexander von Humboldt Medal (EGU)	award conferred by the European Geosciences Union	0.0	2.0	0.0	0.0	0.25	2016-01-01T00:00:00Z	2020-01-01T00:00:00Z	Fu, Bojie; Jean Poesen
Alexis Carrel Prize	$null$	0.0	1.0	0.0	0.0	0.5	2001-01-01T00:00:00Z	2001-01-01T00:00:00Z	Michael Gawenda
Alfred P. Sloan, Jr. Prize	oncology award	2.0	29.0	0.0	0.0	2.3143365979194633e-07	1979-01-01T00:00:00Z	2005-01-01T00:00:00Z	Alexander Varshavsky; Avram Hershko; Bob Waterston; Christiane Nüsslein-Volhard; César Milstein; Donald Metcalf; Edward Harlow; Elizabeth Blackburn; George Klein; Hidesaburo Hanafusa; J. Michael Bishop; John Sulston; Lee Hartwell; Leo Sachs; Mario Capecchi; Mark M. Davis; Mark Ptashne; Oliver Smithies; Paul Nurse; Pierre Chambon; Raymond L. Erikson; Robert G. Roeder; Robert T. Schimke; Robert Tjian; Robert Weinberg; Roger D. Kornberg; Stanley Cohen; Tak Wah Mak; Thomas J. Kelly; Wallace P. Rowe; Yasutomi Nishizuka
Alfred Wegener Medal	$null$	0.0	3.0	0.0	0.0	0.125	1980-01-01T00:00:00Z	1986-01-01T00:00:00Z	Helmut Landsberg; Hermann Flohn; Joachim Kuettner
Alfred Wegener Medal	European Geosciences Union medal	1.0	16.0	0.0	0.0	0.0001373291015625	1983-01-01T00:00:00Z	2021-01-01T00:00:00Z	Angela Gurnell; Dan McKenzie; Donald L. Turcotte; Edward A. Irving; Gerold Wefer; Gérard Mégie; John Tuzo Wilson; Keith Runcorn; Lennart Bengtsson; Manik Talwani; Michael Ghil; Paul E. Tapponnier; Paul F. Hoffman; Sergej Zilitinkevich; Stephan Mueller; W. Jason Morgan; Xavier Le Pichon
Alfred-Bader Award	$null$	0.0	1.0	0.0	0.0	0.5	1990-01-01T00:00:00Z	1990-01-01T00:00:00Z	Howard Alper
Alfredo di Braccio Award	$null$	0.0	1.0	0.0	0.0	0.5	2011-01-01T00:00:00Z	2011-01-01T00:00:00Z	Antonio Politano
Alfried Krupp Award for Young University Teachers	$null$	2.0	11.0	0.0	0.0	0.011230468750000002	1986-01-01T00:00:00Z	2016-01-01T00:00:00Z	Benedikt Wirth; Benjamin Judkewitz; Bernhard Breit; Birgit Liß; Frank Glorius; Frank Mücklich; Gerhard Erker; Heinrich Kurz; Jens Niemeyer; Onur Güntürkün; Sami Haddadin; Tim Christian Lüth; Ursula Gather
Alfried-Krupp Science Prize	$null$	0.0	11.0	0.0	0.0	0.00048828125	1998-01-01T00:00:00Z	2006-01-01T00:00:00Z	Bert Hölldobler; Dieter Oesterhelt; Eberhard Zeidler; Friedrich Hirzebruch; Herbert Walther; Hermann Lübbe; Jan Assmann; Konrad Repgen; Rudolf Smend; Theodor W. Hänsch; Wolfgang Frühwald
Alvar Aalto Medal	architecture prize	1.0	12.0	0.0	0.0	0.0017089843749999998	1967-01-01T00:00:00Z	2017-01-01T00:00:00Z	Alvar Aalto; Enrique Sobejano; Fuensanta Nieto; Glenn Murcutt; Hakon Ahlberg; James Stirling; Jørn Utzon; Paulo David; Rogelio Salmona; Steven Holl; Tadao Ando; Zhang Ke; Álvaro Siza Vieira
Alwin-Walther medal	$null$	0.0	9.0	0.0	0.0	0.001953125	2000-01-01T00:00:00Z	2010-01-01T00:00:00Z	Karl-Heinz Hoffmann; Klaus Tschira; Martin Grötschel; Peter Deuflhard; Reinhard Wilhelm; Robert Piloty; Roland Bulirsch; Theo Härder; Willi Jäger
Amaldi Medal	$null$	0.0	3.0	0.0	0.0	0.125	2004-01-01T00:00:00Z	2012-01-01T00:00:00Z	Alexei Starobinski; Bernard F. Schutz; Roger Penrose
American Association of Immunologists Lifetime Achievement Award	Award	1.0	6.0	0.0	0.0	0.0625	1994-01-01T00:00:00Z	2017-01-01T00:00:00Z	David Talmage; Frank W. Fitch; Katherine L. Knight; Max Dale Cooper; Richard J. Hodes; Richard W. Dutton; William E. Paul
American Astronomical Society Education Prize	astronomy education award bestowed by the American Astronomical Society	2.0	7.0	0.0	0.0	0.08984375000000001	2001-01-01T00:00:00Z	2010-01-01T00:00:00Z	Frank Drake; James B. Kaler; Jay Pasachoff; Keith S. Noll; Mary Kay Hemenway; Michael Zeilik; Owen Gingerich; Philip M. Sadler; Sidney C. Wolff
Andrew Gemant Award	annually recognizes the accomplishments of a person who has made significant contributions to the cultural, artistic, or humanistic dimension of physics	0.0	2.0	0.0	0.0	0.25	1998-01-01T00:00:00Z	2003-01-01T00:00:00Z	Brian Greene; Stephen Hawking
Anna and Lajos Erdős Prize in Mathematics	award	1.0	1.0	0.0	0.0	0.75	1989-01-01T00:00:00Z	2011-01-01T00:00:00Z	Noga Alon; Tamar Ziegler
Anne Bennett Prize	award given by London Mathematical Society	1.0	0.0	0.0	0.0	1.0	2016-01-01T00:00:00Z	2016-01-01T00:00:00Z	Julia Wolf
Annie Jump Cannon Award in Astronomy	Awarded annually by the American Astronomical Society (AAS) to a woman resident of North America, for distinguished contributions to astronomy	4.0	0.0	0.0	0.0	1.0	1965-01-01T00:00:00Z	2021-01-01T00:00:00Z	Anna Frebel; Elizabeth Lada; Erika Böhm-Vitense; Laura Kreidberg
Annual BCI Research Award	annual award for innovative research in brain-computer interfaces	3.0	21.0	0.0	0.0	0.00013858079910278328	2010-01-01T00:00:00Z	2019-01-01T00:00:00Z	A. Bolu Ajiboye; Ali Rezai; Benjamin L. Walter; Bernhard Schölkopf; Chad Bouton; Cuntai Guan; Daniel R. Young; Ernest Nlandu Kamavuako; Francis Willett; Jaimie M. Henderson; Jonathan P. Miller; Kai Keng Ang; Krishna Shenoy; Leigh R. Hochberg; Marcia Bockbrader; Maria C. Dadarlat; Moritz Grosse-Wentrup; Natalie Mrachacz-Kersting; Niels Birbaumer; Paymon Garakani Rezaii; Robert F. Kirsch; Sergey D. Stavisky; Surjo R. Soekadar; William D Memberg
Ansel Adams Award	environmental photography award	0.0	2.0	0.0	0.0	0.25	1982-01-01T00:00:00Z	2015-01-01T00:00:00Z	Jimmy Carter; John Podesta
Ansel Adams Award for Conservation Photography	$null$	1.0	14.0	0.0	0.0	0.0004882812499999999	1978-01-01T00:00:00Z	2019-01-01T00:00:00Z	C.C. Lockwood; Dewitt Jones; Douglas Steakley; Edward Schell; Gary Braasch; Ian Shive; James Balog; John Fielder; Joshua Wolfe; Krista Schlyer; Michael Forsberg; Robert M. Lindholm; Steven Kazlowski; Thomas D Mangelsen; Tim Palmer
Anthropology Lifetime Achievement Award	$null$	0.0	1.0	0.0	0.0	0.5	2013-01-01T00:00:00Z	2013-01-01T00:00:00Z	Wu Xinzhi
Appleton Medal and Prize	Award made for distinguished research in environmental physics	2.0	2.0	0.0	0.0	0.6875	1983-01-01T00:00:00Z	2019-01-01T00:00:00Z	Ann Wintle; Cathryn N Mitchell; Giles Harrison; Granville Beynon
Applied Catalysis Award	award granted by the Royal Society of Chemistry	1.0	4.0	0.0	0.0	0.1875	2010-01-01T00:00:00Z	2018-01-01T00:00:00Z	David Johnson; Douglas Stephan; Martyn Twigg; Thomas Colacot; Ying Zheng
Archiprix	$null$	0.0	1.0	0.0	0.0	0.5	1989-01-01T00:00:00Z	1989-01-01T00:00:00Z	Lars Spuybroek
Architecture Firm Award	architecture prize	0.0	2.0	0.0	0.0	0.25	1968-01-01T00:00:00Z	1989-01-01T00:00:00Z	César Pelli; I. M. Pei
Arnold Sommerfeld Prize	award	1.0	6.0	0.0	0.0	0.0625	1995-01-01T00:00:00Z	2016-01-01T00:00:00Z	Christian Griesinger; Franz Schilling; Gregor Koblmüller; Johannes Herrmann; Sonja Herres-Pawlis; Thomas Magauer; Ulrich Höfer
Ars legendi award for excellent university teaching	$null$	2.0	20.0	0.0	0.0	6.055831909179691e-05	2006-01-01T00:00:00Z	2018-01-01T00:00:00Z	Bernhard Hirt; Daniel Grieser; Ilka Agricola; Joachim Winter; Julian Krüper; Jürgen Handke; Jürgen Richter-Gebert; Jürgen Schäfer; Leif Döring; Manfred Hampe; Markus Friedrich; Martin Korte; Michael Knipper; Michael Vogel; Norbert Henze; Oliver Vornberger; Reinhard Putz; Rolf Sethe; Sigrid Harendza; Stephan Lorenz; Thomas Lobinger; Urs Kramer
Arthur L. Day Medal	Geological Society of America (GSA) award	3.0	48.0	0.0	0.0	9.837464176598594e-12	1948-01-01T00:00:00Z	2018-01-01T00:00:00Z	Akiho Miyashiro; Alfred Otto Carl Nier; Allan V. Cox; Claude Allègre; Dan McKenzie; David Griggs; Don L. Anderson; Donald J. DePaolo; Donald L. Turcotte; E-An Zen; Edward A. Irving; Edward Bullard; Edward Stolper; Eugene Merle Shoemaker; Francis Birch; Frank Press; Fred Earl Ingerson; Frederick Vine; George W. Morey; Gerald J. Wasserburg; Hans P. Eugster; Hans Ramberg; Harmon Craig; Harold Urey; Harry Thode; Hatten Yoder; Hugo Benioff; Ian S. E. Carmichael; J. Frank Schairer; James Freeman Gilbert; Jay Quade; John Verhoogen; Keith Edward Bullen; Konrad Bates Krauskopf; Lisa Tauxe; M. King Hubbert; Martin Julian Buerger; Mary Lou Zoback; Maurice Ewing; Orville Frank Tuttle; R. Stephen J. Sparks; Robert M. Garrels; Samuel Epstein; Sterling B. Hendricks; Susan Kieffer; Ted Ringwood; Wallace Smith Broecker; Walter M. Elsasser; Walter Munk; Willard Libby; William Fyfe
Arthur L. Day Prize and Lectureship	NAS award in geophysics	1.0	15.0	0.0	0.0	0.0002593994140625	1972-01-01T00:00:00Z	2017-01-01T00:00:00Z	Allan V. Cox; Drummond Matthews; Frederick Vine; Gerald J. Wasserburg; Harmon Craig; Hatten Yoder; Herbert Huppert; Hiroo Kanamori; Ho-Kwang Mao; James G. Anderson; R. Lawrence Edwards; Richard Alley; Sean C. Solomon; Stanley R. Hart; Susan Solomon; Wallace Smith Broecker
Arthur L. Schawlow Prize in Laser Science	award of the American Physical Society	1.0	32.0	0.0	0.0	3.958120942115784e-09	1991-01-01T00:00:00Z	2021-01-01T00:00:00Z	Carl Wieman; Charles Shank; Christopher Monroe; David Edward Pritchard; David J. Wineland; Erich P. Ippen; Federico Capasso; Gérard Mourou; Henry Kapteyn; James Bergquist; John L. Hall; Jorge G. Rocca; Louis F. DiMauro; Margaret M. Murnane; Marlan Scully; Michael D. Fayer; Mordechai Segev; Paul Corkum; Peter Delfyett; Peter Sorokin; Richard Zare; Richart E. Slusher; Robert Alfano; Robert W. Boyd; Robert W. Field; Shaul Mukamel; Stephen E. Harris; Steven Chu; Steven Cundiff; Szymon Suckewer; Theodor W. Hänsch; William Daniel Phillips; Yuen-Ron Shen
Asa Gray Award	American science award	3.0	30.0	0.0	0.0	7.005874067544939e-07	1984-01-01T00:00:00Z	2017-01-01T00:00:00Z	Alan H. Graham; Albert Charles Smith; Arthur Cronquist; Beryl Brintnall Simpson; Billie Lee Turner; Bruce Gregg Baldwin; Charles Bixler Heiser; Daniel J. Crawford; Douglas E. Soltis; Ghillean Prance; Harold E. Robinson; Hugh Iltis; Jerzy Rzedowski; John Homer Beaman; Lincoln Constance; Michael Donoghue; Noel Herman Holmgren; Pamela S. Soltis; Patricia Kern Holmgren; Peter F. Stevens; Peter H. Raven; Reed C. Rollins; Robert Folger Thorne; Rogers McVaugh; Rupert Charles Barneby; Scott A. Mori; Sherwin Carlquist; Tod Stuessey; Walter S. Judd; Warren H. Wagner; Warren Lambert Wagner; William Russell Anderson; William T. Stearn
Atenea awarding	Chilean prize	0.0	3.0	0.0	0.0	0.125	1940-01-01T00:00:00Z	1950-01-01T00:00:00Z	Benjamín Subercaseaux; Benjamín Subercaseaux; Hernán Díaz Arrieta
Athalie Richardson Irvine Clarke Prize	$null$	1.0	17.0	0.0	0.0	7.2479248046875e-05	1994-01-01T00:00:00Z	2017-01-01T00:00:00Z	Bruce E. Logan; Bruce Rittmann; Charles N Haas; David C. White; David L. Sedlak; Harry F. Ridgway; James L Barnard; Jerald L. Schnoor; Joan Rose; John C. Crittenden; Mark R. Wiesner; Menachem Elimelech; Pedro J. J. Alvarez; Perry McCarty; Philip C. Singer; Rafael L. Bras; Vernon L. Snoeyink; Walter J. Weber
Athena Lecturer	computer science award	13.0	0.0	0.0	0.0	1.0	2006-01-01T00:00:00Z	2020-01-01T00:00:00Z	Andrea Goldsmith; Deborah Estrin; Elisa Bertino; Jennifer Rexford; Jennifer Widom; Judith S. Olson; Karen Spärck Jones; Lydia Kavraki; Nancy Lynch; Sarit Kraus; Shafrira Goldwasser; Susan J. Eggers; Susan T. Dumais
Audubon Medal	$null$	4.0	38.0	0.0	0.0	2.826573108904996e-08	1947-01-01T00:00:00Z	2015-01-01T00:00:00Z	A. Starker Leopold; Anita Roddick; Cecil D. Andrus; Chandler Robbins; Edward H. Harte; Edward O. Wilson; Hazel Wolf; Henry Fairfield Osborn, Jr.; Horace Marden Albright; Hugh Hammond Bennett; Ira Noel Gabrielson; Jack Dangermond; James Parks Morton; Jay Norwood Darling; Jimmy Carter; John Bertram Oakes; John Chafee; John D. Rockefeller Jr.; Joseph J. Hickey; Laurance Rockefeller; Louis Bacon; Louis Bromfield; Ludlow Griscom; Margaret Murie; Maurice Strong; Michael Dombeck; Nathaniel A. Owings; Olaus Murie; Oren Lyons; Rachel Carson; Richard Louv; Richard Pough; Robert Redford; Roger Tory Peterson; Russell W. Peterson; Stewart Udall; Ted Turner; Tom McCall; Walt Disney; William G. Conway; William O. Douglas; Óscar Arias Sánchez
Augsburg Academic Prize for Intercultural Studies	$null$	1.0	1.0	0.0	0.0	0.75	2001-01-01T00:00:00Z	2004-01-01T00:00:00Z	Christine Langenfeld; Jörg Alt
Augsburg University Prize for Spain, Portugal and Latin American Studies	$null$	0.0	3.0	0.0	0.0	0.125	1988-01-01T00:00:00Z	2000-01-01T00:00:00Z	Dieter Nohlen; Erwin Walter Palm; Raymond Carr
August Loesch Ring of Honor	$null$	0.0	8.0	0.0	0.0	0.00390625	1982-01-01T00:00:00Z	2000-01-01T00:00:00Z	Herbert Giersch; Kazimierz Dziewoński; Leo H. Klaassen; Martin J. Beckmann; Rolf Funck; Torsten Hägerstrand; Walter Isard; Wolfgang Stolper
August Wilhelm von Hofmann Medal	$null$	0.0	36.0	0.0	0.0	1.4551915228366852e-11	1903-01-01T00:00:00Z	2016-01-01T00:00:00Z	Adolf Butenandt; Albert Szent-Györgyi; Arne Tiselius; Barry Trost; Ben Feringa; Carl Duisberg; Chintamani Nagesa Ramachandra Rao; Costin Nenițescu; Dieter Seebach; Edgar Heilbronner; Edgar Lederer; Emilio G. Segrè; Franz Joseph Emil Fischer; Franz Oppenheim; François Diederich; Géza Zemplén; Henri Moissan; Hermann Rein; Jack Halpern; Jack Lewis, Baron Lewis of Newnham; Joshua Jortner; Kyriakos Costa Nicolaou; Lawrence Bragg; Maks Samec; Max Bodenstein; Nozoe Tetsuo; Paul Doughty Bartlett; Paul Walden; Richard R. Schrock; Robert H. Grubbs; Robert Robinson; Roger Adams; Steven V. Ley; Vladimir Prelog; William Henry Perkin; William von Eggers Doering
August-Kekulé-Medaille	$null$	0.0	16.0	0.0	0.0	1.52587890625e-05	1954-01-01T00:00:00Z	1989-01-01T00:00:00Z	Alfred Rieche; Erich Clar; Ernst Schmitz; Hans Beyer; Heinz G. O. Becker; Hermann Klare; Horst Pracejus; Johannes Nelles; Karlheinz Lohs; Manfred Rätzsch; Manfred Schulz; Nikolay Emanuel; Roland Mayer; Ulrich Freimuth; Walter König; Wilhelm Treibs
Auguste Perret Prize	(1961-) prize of architects	1.0	19.0	0.0	0.0	2.0027160644531247e-05	1961-01-01T00:00:00Z	2017-01-01T00:00:00Z	Arthur Erickson; Emilio Pérez Piñero; Françoise-Hélène Jourda; Frei Otto; Fumihiko Maki; Félix Candela; Günter Behnisch; Hans Scharoun; Jean Prouvé; João Batista Vilanova Artigas; Karel Hubáček; Ken Yeang; Kiyonori Kikutake; Nikolay Shumakov; Renzo Piano; Richard Rogers; Rolf Gutbrod; Shigeru Ban; Thomas Herzog; Werner Sobek
Aurealis Award for best science fiction novel	$null$	5.0	8.0	0.0	0.0	0.29052734375	1996-01-01T00:00:00Z	2014-01-01T00:00:00Z	Damien Broderick; Damien Broderick; Damien Broderick; K. A. Bedford; K. A. Bedford; Kate Orman; Kim Westwood; Marianne de Pierres; Marianne de Pierres; Maxine McArthur; Sean Williams; Sean Williams; Shane Dix
Australia Prize	former science award	0.0	1.0	0.0	0.0	0.5	1993-01-01T00:00:00Z	1993-01-01T00:00:00Z	Horace Barlow
Australian Institute of Architects Gold Medal	$null$	0.0	4.0	0.0	0.0	0.0625	1968-01-01T00:00:00Z	2003-01-01T00:00:00Z	Glenn Murcutt; Peter Corrigan; Romaldo Giurgola; Roy Grounds
Australian Mathematical Society Medal	Australian award that recognises mathematics research	2.0	23.0	0.0	0.0	9.71555709838867e-06	1981-01-01T00:00:00Z	2018-01-01T00:00:00Z	Adrian Baddeley; Alexander Molev; Ben Andrews; Brendan McKay; Christine O'Keefe; Gavin Brown; Geordie Williamson; Gerhard Huisken; Hugh Possingham; Ian Wanless; J. Hyam Rubinstein; Kate Smith-Miles; Leon Simon; Mathai Varghese; Michael Cowling; Michael Eastwood; Murray Batchelor; Neil Trudinger; Nick Wormald; Peter Bouwknegt; Peter Gavin Hall; Richard P. Brent; Terence Tao; Todd Oliynyk; Xu-Jia Wang
BBVA Foundation Frontiers of Knowledge Award	Spanish science award	10.0	63.0	0.0	0.0	7.767978621284102e-11	2008-01-01T00:00:00Z	2020-01-01T00:00:00Z	Abhijit Banerjee; Adi Shamir; Adrian Peter Bird; Alexander Varshavsky; Andreu Mas-Colell; Angus Deaton; Anny Cazenave; Anthony R. Hunter; Ardem Patapoutian; Carver Mead; Charles Sawyers; Christopher Field; Ciro de Quadros; Daniel H. Janzen; Daniel Pauly; David Card; Didier Queloz; Donald Knuth; Douglas L. Coleman; Edward Boyden; Emmanuelle Charpentier; Francisco Juan Martínez Mojica; Gene Likens; Georges Aperghis; Gretchen Daily; Gábor A. Somorjai; Harald Rose; Helmut Lachenmann; Ilkka Hanski; Ingrid Daubechies; Isaac Held; Jacob Ziv; Jane Lubchenco; Jean Tirole; Joan Massagué Solé; Joseph Schlessinger; Juan Ignacio Cirac Sasturain; Kaija Saariaho; Karl Deisseroth; Klaus Hasselmann; Knut Urban; Lars Peter Hansen; Lotfi Aliasker Zadeh; Mark Westoby; Marten Scheffer; Martin Ravallion; Marvin Minsky; Maximilian Haider; Nicholas Stern, Baron Stern of Brentford; Paul Milgrom; Peter Zoller; Pierre Boulez; Richard Zare; Robert B. Wilson; Robert Lefkowitz; Salvatore Sciarrino; Sandra Lavorel; 
Baden-Wuerttemberg Research Award	$null$	1.0	5.0	0.0	0.0	0.10937500000000001	1991-01-01T00:00:00Z	2010-01-01T00:00:00Z	Bert Sakmann; Detlef Weigel; Ina Rösing; Michael Frotscher; Rolf Stürner; Willi Jäger
Bakerian Lecture	one of the premier medals of the Royal Society that recognizes exceptional and outstanding science	6.0	205.0	0.0	0.0	3.5699207514582104e-53	1775-01-01T00:00:00Z	2018-01-01T00:00:00Z	A. Ian Scott; Abdus Salam; Alan Cottrell; Alan R. Battersby; Albert Chibnall; Alexander R. Todd, Baron Todd; Alfred Fowler; Alfred Fowler; Anthony Kelly; Arnold Wolfendale; Arthur Eddington; Arthur Schuster; Arthur Schuster; Arthur William Rucker; Athene Donald; Augustus George Vernon Harcourt; Basil John Mason; Brooke Benjamin; C. F. Powell; Carl Wilhelm Siemens; Carlo Rubbia; Charles Algernon Parsons; Charles Daubeny; Charles Glover Barkla; Charles Herbert Lees; Charles Heycock; Charles Lyell; Charles Wheatstone; Charles Wheatstone; Chris Dobson; Christopher Kelk Ingold; Constance F. Elam; Cyril Norman Hinshelwood; David Leigh; David Sherrington; Derek Barton; Desmond King-Hele; Donal Bradley; Dorothy Hodgkin; Edmund Hirst; Edward Arthur Milne; Edward Bullard; Edward Frankland; Edward Robert Festing; Edward Sabine; Edward Sabine; Edward Victor Appleton; Ernest Rutherford; Ernest Rutherford; Francis William Aston; Fred Hoyle; Frederic Calland Williams; Frederick Abel; Frederick Charle
Baltic Assembly Prize for Literature, the Arts and Science	$null$	1.0	0.0	0.0	0.0	1.0	2006-01-01T00:00:00Z	2006-01-01T00:00:00Z	Nora Ikstena
Baly Medal	$null$	1.0	40.0	0.0	0.0	1.9099388737231503e-11	1873-01-01T00:00:00Z	2017-01-01T00:00:00Z	Alan Lloyd Hodgkin; Alec Jeffreys; Bernard Katz; Bernardo Houssay; Carl Ludwig; Charles Nicholas Hales; David Marsden; Dimitri Kullmann; Dorothy Hodgkin; Edgar Allen; Edward Mellanby; Ernest Starling; Frederick Hopkins; Frederick William Pavy; George de Hevesy; Hans Kosterlitz; Henry Hallett Dale; Ivan De Burgh Daly; Ivan Pavlov; John Burdon-Sanderson; John Eccles; John Sulston; John Vane; Joseph Barcroft; Leonard Erskine Hill; Malcolm Davenport Milne; Martin Evans; Michael Foster; Moritz Schiff; Paul Nurse; Paul Polani; Peter J. Ratcliffe; Rudolf Heidenhain; Stephen O'Rahilly; Sydney Brenner; W. H. Gaskell; Wilhelm Feldberg; William Bayliss; William Kitchen Parker; William Paton; William Sharpey
Balzan Prize	annual monetary prizes to people or organizations who have made outstanding achievements in the fields of humanities, natural sciences, culture	6.0	107.0	0.0	0.0	2.574588374704797e-25	1962-01-01T00:00:00Z	2018-01-01T00:00:00Z	Abbé Pierre; Alain Aspect; Aleida Assmann; Andrew E. Lange; Andrey Kolmogorov; André Vauchez; Anthony Grafton; Armand Borel; Arno Borst; Arnt Eliassen; Brenda Milner; Bronisław Baczko; Bruce Beutler; Carlo Ginzburg; Carlo M. Cipolla; Charles Coulston Gillispie; Christopher Roland Somerville; Claude Lorius; Colin Renfrew; Dan McKenzie; David Baulcombe; David Tilman; Dennis Sullivan; Dominique Schnapper; Drummond Matthews; Edward Shils; Elliot Meyerowitz; Emmanuel Levinas; Enrico Bombieri; Ernst Gombrich; Eva Kondorosi; Federico Capasso; Francesco Gabrieli; Francis Halzen; Fred Hoyle; Frederick Vine; Giovanni Macchia; Giuseppe Tucci; György Ligeti; Hans Belting; Hassan Fathi; Ian Hacking; Ilkka Hanski; James P. Allison; James S. Ackerman; Jan Hendrik Oort; Jean Starobinski; Jean-Baptiste Duroselle; Jean-Pierre Changeux; Jean-Pierre Serre; Jerome Bruner; John Maynard Smith; John XXIII; Joseph Silk; Jules Hoffmann; Jürgen Osterhammel; Karlheinz Böhm; Kenneth V. Thimann; Kurt Lambeck; Leo P
Bancroft Award	$null$	0.0	10.0	0.0	0.0	0.0009765625	1968-01-01T00:00:00Z	2010-01-01T00:00:00Z	Dale Russell; David McCurdy Baird; E. R. Ward Neale; Frank C. Hawthorne; Jack Souther; Jan Veizer; John J. Clague; John Tuzo Wilson; Roger Blais; William Richard Peltier
Bancroft Prize	award	19.0	136.0	0.0	0.0	2.731059708483625e-23	1948-01-01T00:00:00Z	2015-01-01T00:00:00Z	Alan Dawley; Alan Gallay; Alan Taylor; Alexander L. George; Alfred D. Chandler, Jr.; Alice Kessler-Harris; Allan M. Brandt; Allan Nevins; Anthony F. C. Wallace; Ari Kelman; Arthur M. Schlesinger; Arthur N. Holcombe; Arthur S. Link; Arthur S. Link; Barry W. Higman; Bernard Bailyn; Bernard DeVoto; Bradford Perkins; C. Vann Woodward; Carl Neumann Degler; Charles Capper; Charles Postel; Charles Royster; Charles Sellers; Charles Sellers; Christine Leigh Heyrman; Christopher Thorne; Clinton Rossiter; Dan T. Carter; Daniel J. Boorstin; David Brion Davis; David E. Kyvig; David Levering Lewis; David M. Kennedy; David Nasaw; David S. Reynolds; David W. Blight; Donald Worster; Dorothy Borg; Drew Gilpin Faust; Edmund Morgan; Edward Countryman; Edward L. Ayers; Elizabeth Stevenson; Eric F. Goldman; Eric Foner; Erik Barnouw; Ernest Samuels; Erskine Clarke; Eugene Genovese; Felix Gilbert; Frances FitzGerald; Frank Luther Mott; George Dangerfield; George F. Kennan; George Marsden; Gordon S. Wood; Greg
